kingdom,class,phylum,order,family,genus,species
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus/astur cooperii
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis macularius
Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,Aechmophorus clarkii
Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,Aechmophorus occidentalis
Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,Aechmophorus occidentalis/clarkii
Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,Aeronautes saxatalis
Animalia,Chordata,Aves,NA,NA,Aerospiza,Aerospiza/tachyspiza/accipiter/astur sp.
Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius phoeniceus
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Aimophila,Aimophila ruficeps
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,Aix sponsa
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,Amazilia rutila
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona albifrons
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona sp.
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammodramus,Ammodramus savannarum
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Amphispiza,Amphispiza bilineata
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Amphispizopsis,Amphispizopsis quinquestriata
Animalia,NA,NA,NA,NA,NA,Anarhynchus collaris
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Anarhynchus,Anarhynchus nivosus
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Anarhynchus,Anarhynchus wilsonia
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas acuta
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas crecca
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas diazi
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos/diazi
Animalia,Chordata,Aves,Suliformes,Anhingidae,Anhinga,Anhinga anhinga
Animalia,Chordata,Aves,Charadriiformes,Laridae,Anous,Anous stolidus
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser albifrons
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser anser
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser caerulescens
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser sp.
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus cervinus
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus rubescens
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus sp.
Animalia,Chordata,Aves,Gruiformes,Gruidae,Antigone,Antigone canadensis
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,Antrostomus ridgwayi
Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma californica
Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma wollweberi
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,Ara ararauna
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,Ara macao
Animalia,Chordata,Aves,Gruiformes,Rallidae,Aramides,Aramides axillaris
Animalia,Chordata,Aves,Gruiformes,Aramidae,Aramus,Aramus guarauna
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,Archilochus alexandri
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,Archilochus colubris
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,Archilochus colubris/alexandri
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea herodias
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea ibis
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,Ardenna creatopus
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,Ardenna grisea
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,Ardenna pacifica
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,Arenaria interpres
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,Arenaria melanocephala
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Artemisiospiza,Artemisiospiza nevadensis
Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus
Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio otus
Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio stygius
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Astur,Astur cooperii
Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Atlapetes,Atlapetes pileatus
Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Attila,Attila spadiceus
Animalia,Chordata,Aves,Passeriformes,Remizidae,Auriparus,Auriparus flaviceps
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya affinis
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya americana
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya collaris
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya marila
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya marila/affinis
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya sp.
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya valisineria
Animalia,Chordata,Aves,Passeriformes,Parulidae,Basileuterus,Basileuterus culicivorus
Animalia,Chordata,Aves,Passeriformes,Parulidae,Basileuterus,Basileuterus rufifrons
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Basilinna,Basilinna leucotis
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Basilinna,Basilinna xantusii
Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,Bombycilla cedrorum
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,Botaurus exilis
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,Botaurus lentiginosus
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta bernicla
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta canadensis
